area_type,area,fips,year,population,population_0_17,population_18p
State,Hawaii,15,2019,1415872,305174,1110698
Region,Balance,NA,2019,1415872,305225,1110647
County,Hawaii County,15001,2019,201513,44063,157450
County,Honolulu County,15003,2019,974563,208235,766328
County,Kalawao County,15005,2019,86,5,81
County,Kauai County,15007,2019,72293,15933,56360
County,Maui County,15009,2019,167417,36989,130428
